SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 13-Jan-2023, 120.50, 120.00, 120.00, 120.00, 120.00, 120.00, 120.00, 147, 0.18, 1, 147, 100.00
20MICRONS, EQ, 13-Jan-2023, 89.40, 89.75, 91.00, 89.75, 90.90, 90.80, 90.54, 52956, 47.95, 1039, 25319, 47.81
21STCENMGM, EQ, 13-Jan-2023, 22.45, 22.35, 22.85, 22.10, 22.85, 22.25, 22.43, 5046, 1.13, 66, 2463, 48.81
3IINFOLTD, EQ, 13-Jan-2023, 40.45, 41.00, 41.00, 40.10, 40.40, 40.55, 40.45, 297132, 120.19, 1961, 153935, 51.81
3MINDIA, EQ, 13-Jan-2023, 22335.40, 22335.40, 22477.90, 22001.85, 22300.00, 22396.60, 22304.84, 2505, 558.74, 1757, 1170, 46.71
3PLAND, EQ, 13-Jan-2023, 34.95, 36.65, 36.65, 33.20, 33.20, 33.20, 35.07, 380958, 133.61, 2085, 266575, 69.97
4THDIM, BE, 13-Jan-2023, 119.80, 120.00, 121.80, 120.00, 120.70, 120.35, 120.53, 63783, 76.88, 150, -, -
522GS2025, GS, 13-Jan-2023, 95.25, 95.45, 95.45, 95.45, 95.45, 95.45, 95.45, 49, 0.05, 1, 49, 100.00
577GS2030, GS, 13-Jan-2023, 94.00, 94.45, 94.45, 94.45, 94.45, 94.45, 94.45, 200, 0.19, 2, 200, 100.00
5PAISA, EQ, 13-Jan-2023, 323.30, 322.90, 328.45, 316.40, 317.50, 319.05, 321.37, 113541, 364.88, 4569, 23346, 20.56
618GS2024, GS, 13-Jan-2023, 97.65, 99.55, 100.00, 99.55, 100.00, 100.00, 99.55, 1186, 1.18, 3, 1186, 100.00
63MOONS, EQ, 13-Jan-2023, 163.95, 163.75, 170.90, 162.25, 169.90, 169.45, 167.59, 92244, 154.59, 3439, 51331, 55.65
667GS2050, GS, 13-Jan-2023, 93.95, 93.95, 93.95, 93.95, 93.95, 93.95, 93.95, 9, 0.01, 2, 9, 100.00
669GS2024, GS, 13-Jan-2023, 99.78, 100.00, 100.00, 99.75, 99.75, 99.76, 99.78, 9488, 9.47, 8, 9488, 100.00
68GS2060, GS, 13-Jan-2023, 94.10, 98.40, 98.40, 98.40, 98.40, 98.40, 98.40, 500, 0.49, 1, 500, 100.00
699GS2051, GS, 13-Jan-2023, 96.99, 96.20, 96.20, 96.20, 96.20, 96.20, 96.20, 1, 0.00, 1, 1, 100.00
710GS2029, GS, 13-Jan-2023, 101.00, 101.00, 102.50, 101.00, 101.33, 101.33, 101.98, 18970, 19.35, 8, 15000, 79.07
726GS2029, GS, 13-Jan-2023, 101.58, 101.00, 101.10, 101.00, 101.10, 101.10, 101.05, 565, 0.57, 2, 565, 100.00
738GS2027, GS, 13-Jan-2023, 101.55, 101.98, 101.98, 101.85, 101.85, 101.85, 101.88, 4980, 5.07, 4, 4980, 100.00
741GS2036, GS, 13-Jan-2023, 101.73, 101.18, 101.18, 101.18, 101.18, 101.18, 101.18, 50000, 50.59, 2, 50000, 100.00
754GS2036, GS, 13-Jan-2023, 102.67, 102.67, 103.00, 102.67, 102.94, 102.94, 102.89, 80185, 82.51, 32, 80185, 100.00
824GS2027, GS, 13-Jan-2023, 107.55, 108.10, 108.10, 108.10, 108.10, 108.10, 108.10, 200, 0.22, 2, 200, 100.00
828GS2032, GS, 13-Jan-2023, 110.45, 110.45, 110.45, 110.45, 110.45, 110.45, 110.45, 2001, 2.21, 2, 2001, 100.00
897GS2030, GS, 13-Jan-2023, 111.00, 112.00, 112.00, 111.01, 111.01, 111.01, 111.51, 4000, 4.46, 4, 4000, 100.00
915GS2024, GS, 13-Jan-2023, 104.00, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 200, 0.21, 1, 200, 100.00
A2ZINFRA, EQ, 13-Jan-2023, 9.60, 9.65, 9.85, 9.55, 9.75, 9.75, 9.71, 159651, 15.50, 519, 75301, 47.17
AAATECH, EQ, 13-Jan-2023, 62.75, 63.55, 65.45, 63.00, 65.25, 64.95, 63.76, 32523, 20.74, 392, 21243, 65.32
AAKASH, EQ, 13-Jan-2023, 6.75, 6.85, 6.95, 6.80, 6.85, 6.85, 6.87, 211576, 14.53, 489, 164229, 77.62
AAREYDRUGS, EQ, 13-Jan-2023, 37.70, 38.25, 38.25, 37.65, 37.70, 37.75, 37.91, 9835, 3.73, 183, 7101, 72.20
AARON, EQ, 13-Jan-2023, 167.25, 169.90, 175.00, 166.20, 172.10, 173.00, 169.59, 30775, 52.19, 3479, 3451, 11.21
