SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 08-Nov-2021, 59.75, 60.95, 60.95, 59.25, 60.20, 60.05, 59.85, 43840, 26.24, 749, 26227, 59.82
21STCENMGM, EQ, 08-Nov-2021, 58.75, 59.90, 59.90, 57.65, 59.90, 59.90, 59.36, 105147, 62.42, 333, 95156, 90.50
3IINFOLTD, EQ, 08-Nov-2021, 47.85, 52.60, 52.60, 52.60, 52.60, 52.60, 52.60, 13822, 7.27, 306, 13822, 100.00
3MINDIA, EQ, 08-Nov-2021, 26669.00, 26700.00, 27800.00, 26700.00, 27386.50, 27396.65, 27422.93, 7004, 1920.70, 3445, 3255, 46.47
3PLAND, EQ, 08-Nov-2021, 13.20, 13.20, 13.50, 12.75, 12.85, 12.95, 13.07, 23762, 3.10, 152, 13303, 55.98
5PAISA, EQ, 08-Nov-2021, 438.45, 440.00, 443.05, 433.00, 434.50, 436.90, 436.80, 13501, 58.97, 828, 7275, 53.88
622GS2035, GS, 08-Nov-2021, 99.50, 99.80, 99.80, 99.80, 99.80, 99.80, 99.80, 81, 0.08, 1, 81, 100.00
63MOONS, EQ, 08-Nov-2021, 98.45, 101.90, 101.90, 97.10, 98.00, 98.00, 98.45, 59663, 58.74, 993, 42148, 70.64
667GS2035, GS, 08-Nov-2021, 96.01, 99.00, 99.00, 99.00, 99.00, 99.00, 99.00, 400, 0.40, 1, 400, 100.00
667GS2050, GS, 08-Nov-2021, 98.25, 98.00, 98.84, 98.00, 98.81, 98.81, 98.49, 10000, 9.85, 7, 10000, 100.00
676GS2061, GS, 08-Nov-2021, 97.91, 97.91, 97.91, 97.91, 97.91, 97.91, 97.91, 1296, 1.27, 5, 1296, 100.00
716GS2050, GS, 08-Nov-2021, 108.30, 109.00, 109.00, 108.30, 108.30, 108.30, 108.53, 3, 0.00, 2, 3, 100.00
769GS2043, GS, 08-Nov-2021, 100.71, 101.00, 101.00, 101.00, 101.00, 101.00, 101.00, 200, 0.20, 1, 200, 100.00
772GS2055, GS, 08-Nov-2021, 113.49, 113.50, 113.50, 113.50, 113.50, 113.50, 113.50, 159, 0.18, 4, 159, 100.00
A2ZINFRA, EQ, 08-Nov-2021, 5.00, 5.00, 5.50, 4.85, 5.50, 5.50, 5.38, 1598648, 86.08, 1602, 1032365, 64.58
AAATECH, SM, 08-Nov-2021, 60.50, 58.00, 58.00, 57.00, 57.00, 57.00, 57.33, 9000, 5.16, 3, 9000, 100.00
AAKASH, EQ, 08-Nov-2021, 208.40, 201.00, 216.50, 201.00, 216.50, 210.65, 207.31, 30726, 63.70, 347, 19009, 61.87
